Series Name,Series Code,Country Name,Country Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,49903.0285395752,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Central African Republic,CAF,641.246530082119,659.981626863929,644.43989516488,674.680269804975,696.114184240571,659.181097713977,704.920767682578,721.248996621022,765.187163842712,807.516137154305,826.813417054097,836.011042410341,863.320204720472,904.610485797435,956.117396809463,613.734675996452,629.046425106389,661.88762493035,693.30690972402
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Chad,TCD,827.987232582298,805.57891619743,787.225118686826,865.77638240656,917.828426528627,1033.58346793282,1366.99601139243,1596.8359830663,1600.20122553425,1640.78038737086,1668.57798496799,1695.96330988651,1886.25106054051,1863.84560539765,1999.03494822396,2077.06024824585,2187.62741095833,2201.18269886883,2025.73724557589
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Chile,CHL,9009.31721071349,8995.18118959855,9571.97894148125,9994.17091790155,10343.2273836998,10858.8014337216,11831.3100517949,12774.7312248309,15773.823019032,16971.7667088299,16551.3071523277,16226.2069326139,18265.3425272305,20437.704525923,21620.2809667472,22578.7289196522,22978.1913015912,22785.8180304618,23476.4267994692
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,China,CHN,2458.63066104439,2664.48503120314,2933.31481687007,3226.84845645728,3551.66365190754,3961.27389293916,4455.20502164089,5092.55983719014,5883.71937721515,6863.98175467412,7635.07261093725,8374.43227112406,9333.12423690653,10384.3665989406,11351.0620576921,12367.9650091944,13440.4774628301,14450.094990196,15530.6342741802
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Colombia,COL,6528.90017378781,6256.81018104118,6585.33413813744,6750.68713876565,6927.32125259077,7241.33125833067,7732.31947622413,8248.35534178596,8957.34111756549,9710.91759594356,10132.2656612857,10260.2266790265,10680.0030066548,11496.4777054381,12058.3437579632,12725.0437311283,13395.516199343,13827.6727863559,14165.4512227635
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Comoros,COM,1052.88627667455,1061.83032068337,1173.81752641852,1198.67108591666,1215.64491347725,1236.16601038234,1264.15613509177,1310.26538212601,1353.51944109414,1367.48883961449,1366.64754971748,1370.46688388663,1383.9296940583,1414.61172325694,1448.4276861253,1487.11050669385,1508.62041667457,1504.71658081263,1521.85721808214
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Congo, Dem. Rep.",COD,515.433430909588,489.425306062329,454.311540544814,442.517363897191,449.176522500066,469.058236547122,498.483440962345,528.961698431253,556.029511433653,587.094398105453,615.277912065108,616.850051937035,646.855793437798,682.43215537283,719.81754613007,767.477239667371,827.316766402232,865.099462663762,868.221543211932
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Congo, Rep.",COG,3452.939884821,3319.54770079494,3551.09264907498,3667.70832941913,3790.19484193496,3791.12980302899,3915.74080755105,4223.07435545744,4474.88010752481,4369.05228717674,4543.92488890468,4760.4444983099,5081.43214469695,5213.94692099844,5368.26568966105,5502.48287322744,5834.00976153059,5902.42965114336,5662.79809114461
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Costa Rica,CRI,7286.41497983041,7527.11162305639,7829.81296167726,8139.81010264789,8397.30253575193,8793.38314665954,9289.50331735902,9817.00119402593,10697.4635440799,11714.2147368533,12329.930057934,12141.9349812074,12737.0201761635,13397.2305422386,14133.6881806511,14524.6715007822,15140.4703680613,15694.6192037295,16387.0490387679
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cote d'Ivoire,CIV,2375.0465599391,2387.90845185766,2336.35692095684,2342.85499642351,2295.19139940123,2268.27229211947,2317.61436177941,2388.43219498255,2450.59677799087,2508.37389933617,2567.19074324489,2612.06386869209,2635.83777138699,2511.42019511915,2762.34142570319,2980.26505984223,3217.771021641,3451.87741812407,3693.6523955676
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Croatia,HRV,9831.24681316676,9748.710079678,10753.2483025995,11309.0342065658,12283.7311647432,13121.6213686635,14092.5964451599,14859.360272224,16927.2265820237,18775.0180752524,20246.9894249813,19447.294585536,19239.748618533,20750.4433202401,21162.9955563574,21779.9839888272,22057.0055290571,22723.6142631873,23710.4090935342
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cyprus,CYP,18935.0149762087,19881.0551380653,21709.1550859041,23263.4339040562,23964.7554398253,24300.463231998,26082.7596388336,28169.5568797536,30482.6076353537,32993.2822676341,34823.6542391999,33882.0964676342,33263.0158296105,33192.5929772985,31914.6243464725,30620.7071488539,30383.5148225188,31523.9268785245,32882.2186186017
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Czech Republic,CZE,14894.2335413301,15324.1064301742,16188.2271902154,17569.1058336591,18189.2343541554,19424.7547140675,20806.6089064521,21956.3838583853,23779.5737230159,26120.375076047,27844.7953264656,27594.3468593931,27694.4019837579,28797.4179611691,29047.2464395949,30485.7141541113,32263.3157548997,33468.7264974291,34749.2123632656
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Denmark,DNK,25792.5810924523,26653.8293359841,28657.5407904467,29474.1381513789,30640.3450364796,30784.1352235764,32920.4770348199,34150.1557953743,37300.4928413295,38961.7706129441,41278.328843462,40332.4514172306,43041.5420245418,44403.3941459257,44803.9622367418,46726.853320478,47901.4475803125,48674.8407494886,49029.0148389124
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,2705.40558882684,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Dominica,DMA,6120.94438012192,6291.7193780794,6480.08268298602,6659.68695053491,6628.72186047005,7252.68597954324,7663.05159606597,7874.89186403854,8333.38880094264,9077.60808148951,9897.4504642508,9834.51240816593,9991.97628607623,10135.2740298011,10164.9581567007,10215.8789204852,10803.2619103343,10586.7704070825,10947.7152243907
