Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cayman Islands,CYM,..,..,..,..,..,49903.0285395752,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Central African Republic,CAF,597.892869785207,644.43989516488,826.813417054097,836.011042410341,863.320204720472,904.610485797435,956.117396809463,613.734675996452,629.046425106389,661.88762493035,693.30690972402,725.94541950627
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Chad,TCD,717.712756095914,787.225118686826,1668.57798496799,1695.96330988651,1886.25106054051,1863.84560539765,1999.03494822396,2077.06024824585,2187.62741095833,2201.18269886883,2025.73724557589,1941.17556764938
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Chile,CHL,4507.11474393179,9571.97894148125,16551.3071523277,16226.2069326139,18265.3425272305,20437.704525923,21620.2809667472,22578.7289196522,22978.1913015912,22785.8180304618,23476.4267994692,24084.9703081634
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,China,CHN,986.568376177788,2933.31481687007,7635.07261093725,8374.43227112406,9333.12423690653,10384.3665989406,11351.0620576921,12367.9650091944,13440.4774628301,14450.094990196,15530.6342741802,16806.7418595372
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Colombia,COL,4869.16184672328,6585.33413813744,10132.2656612857,10260.2266790265,10680.0030066548,11496.4777054381,12058.3437579632,12725.0437311283,13395.516199343,13827.6727863559,14165.4512227635,14552.0085613812
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Comoros,COM,1034.10155080008,1173.81752641852,1366.64754971748,1370.46688388663,1383.9296940583,1414.61172325694,1448.4276861253,1487.11050669385,1508.62041667457,1504.71658081263,1521.85721808214,1552.24584978526
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Congo, Dem. Rep.",COD,896.354534625778,454.311540544814,615.277912065108,616.850051937035,646.855793437798,682.43215537283,719.81754613007,767.477239667371,827.316766402232,865.099462663762,868.221543211932,887.212862592924
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Congo, Rep.",COG,3322.42079928925,3551.09264907498,4543.92488890468,4760.4444983099,5081.43214469695,5213.94692099844,5368.26568966105,5502.48287322744,5834.00976153059,5902.42965114336,5662.79809114461,5359.07433568628
