Country Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Maldives,45,42,45,9,55,14,40,39,31,46,36,9,19,10,8,12,9,14,30
Mali,188,235,212,27,263,47,173,138,117,120,117,43,19,47,54,38,33,25,25
Malta,153,190,195,73,202,95,177,197,284,268,269,141,162,196,269,290,211,287,327
Marshall Islands,2,2,2,0,1,1,0,0,2,0,2,0,0,1,0,1,1,0,1
Mauritania,223,171,229,54,229,13,128,87,85,62,71,5,16,11,9,17,14,15,5
Mauritius,124,138,108,34,142,27,105,110,109,110,88,42,38,29,25,20,33,28,46
Mexico,2243,2408,3041,654,3152,664,3247,3336,3901,3852,4448,754,760,769,764,813,861,951,1034
"Micronesia, Fed. Sts.",0,14,2,1,3,0,2,10,4,7,5,0,0,0,0,0,0,7,1
Moldova,2112,2145,2352,137,2794,111,1753,1321,988,950,979,149,123,140,198,160,229,275,335
Monaco,61,82,55,32,77,67,77,66,64,57,57,34,41,30,41,43,47,37,62
Mongolia,1408,1191,1158,200,1480,131,853,655,633,558,591,209,414,543,496,334,309,293,292
Montenegro,0,0,0,0,0,0,0,0,175,791,507,133,144,132,179,140,127,135,148
Morocco,10338,10168,10422,5726,11902,5201,8517,6843,6244,5474,5808,2264,2350,2316,2054,2096,2272,1957,2235
Mozambique,328,318,317,167,317,95,268,265,303,287,281,111,119,148,97,120,81,97,75
Myanmar,122,133,248,70,196,53,221,300,337,456,380,139,252,185,142,114,97,73,108
Namibia,488,581,568,78,508,62,365,323,357,352,406,58,49,31,35,48,56,50,44
Nauru,0,0,4,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,2
Nepal,590,545,547,230,969,268,704,1033,911,1035,1309,880,725,826,686,801,851,926,1262
Netherlands,12075,12011,12825,14308,15642,1527,14683,15618,16312,16346,16476,1694,1733,1759,1776,1854,2020,2171,2257
New Zealand,1411,1460,1571,930,1522,687,1465,1495,1763,1955,2044,762,788,805,807,753,810,841,930
Nicaragua,320,225,213,140,265,129,192,235,208,201,261,95,93,119,137,93,93,84,79
Niger,221,256,190,88,386,123,227,143,102,88,101,23,19,17,8,14,16,7,10
Nigeria,2755,2279,2243,726,2814,794,3061,2827,2855,2730,2691,1071,1034,969,870,820,974,789,731
Norway,8851,10486,11729,10118,11760,9588,9866,9056,9271,9476,9606,7950,9339,10516,9524,9395,9385,9482,9370
Oman,272,252,303,232,230,153,207,224,274,246,287,178,173,182,265,246,203,180,300
Pakistan,5206,5916,5949,2392,5429,1729,5209,4728,4669,4553,4999,2721,2689,2216,2071,2195,2104,2217,2180
Palau,3,2,4,0,2,1,2,0,0,1,5,0,0,1,1,0,0,0,0
Panama,85,122,118,36,124,65,145,164,163,171,133,92,102,104,74,75,91,90,144
Papua New Guinea,133,101,107,26,105,37,98,95,82,86,77,13,18,18,21,10,22,10,10
Paraguay,457,483,636,27,533,26,467,511,470,544,543,22,36,14,23,20,25,34,34
Peru,1724,1617,1862,552,1915,572,1923,1878,1996,1793,1739,613,587,496,471,384,383,410,427
Philippines,3452,3303,3596,1298,3651,1360,3148,3366,3658,4303,5049,3023,2905,2649,2568,2715,2602,2442,2416
Poland,85213,92840,97560,104493,105391,4235,148140,171427,181998,176836,158945,19549,19486,22551,22070,23618,26665,26213,25358
Portugal,20815,16966,13831,12274,10808,1932,7953,7266,7799,8695,9569,2528,2129,2335,2782,2763,2741,2797,2760
Puerto Rico,5,2,11,4,2,9,10,11,7,8,0,0,0,0,0,0,0,0,0
Qatar,130,145,143,63,114,88,152,180,231,302,365,221,271,319,287,285,343,532,770
Romania,19455,21159,26482,1276,25843,1303,25133,24674,25251,49142,53887,4861,5572,6357,6599,6861,8620,9057,9398
Russian Federation,61115,70693,76080,4158,80717,2938,61454,45410,26164,22884,21070,2552,2775,2787,2860,2821,2823,2584,2931
Rwanda,314,336,398,265,276,177,176,214,245,185,202,151,255,120,139,169,160,130,139
Samoa,11,9,24,9,5,8,8,115,12,12,7,2,1,0,0,1,0,1,4
San Marino,28,13,20,0,25,1,9,10,2,13,6,0,1,1,3,0,2,1,2
Sao Tome and Principe,18,25,1,0,11,0,12,4,5,3,3,2,1,2,0,0,0,0,0
Saudi Arabia,1159,1130,1128,441,996,538,1043,1009,1108,1185,1114,542,547,460,413,574,759,1313,1881
Senegal,448,406,448,103,398,112,385,370,374,383,427,127,130,124,145,154,104,107,125
Serbia,0,0,0,0,0,0,0,0,4122,12830,13731,1303,1185,1391,1679,1438,1619,1737,1742
Seychelles,36,41,59,10,25,8,38,31,45,23,18,6,11,8,4,4,11,4,14
Sierra Leone,1901,2335,2349,1590,2947,652,740,536,480,424,497,233,166,149,164,137,163,110,103
Singapore,1658,1782,1628,812,1741,814,1448,1421,1484,1875,2135,1009,1181,1053,1144,1148,1272,1537,1553
Slovak Republic,6905,9448,11377,12065,12004,331,12412,12615,12425,10760,10368,936,1185,1042,1134,1043,1411,1524,1434
Slovenia,2205,2095,2031,2788,2496,113,2559,1701,1391,1542,1632,242,229,264,282,338,389,395,339
Solomon Islands,11,13,7,11,4,1,4,3,2,1,4,1,0,0,1,0,1,2,2
