Series Name,Series Code,Country Name,Country Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,1515.97671717324,1212.04597845077,1276.49398462377,1244.37318523431,1479.31458271677,1819.76605926177,2378.62328600741,3125.81053502853,3847.43412382153,4735.65760793999,6377.36973201232,5176.2638299699,6029.3967998293,6519.23019498892,6940.15925359735,7978.87261471076,8318.51268992675,5949.10630699748,5022.62664330491
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,25541.6747233656,25444.1392583071,23207.4059110078,23121.6011440246,25052.3393900855,30743.9025377208,35589.6891168402,36967.2591839688,38852.3729277437,44403.7668991523,48424.5755963147,44880.5730196227,44380.1766327308,47702.8118941685,44740.5832481477,46582.6695503412,47351.9741788818,40361.1541907535,41260.9775511468
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,2991.92497090549,3065.49224770527,3364.42371065241,3419.27571926082,3556.56182543496,3679.90952327871,3831.5380185375,3933.33221546402,4187.37802969592,4324.87642716156,4470.22079597603,4258.78861143762,4344.15017661252,4517.13771902112,4673.79143513087,4685.249476293,4844.9818592299,4950.25606198927,4960.18179390332
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,379.442353954477,403.623703839155,374.192394159235,378.736053976421,418.698576347103,519.292284661195,583.409351430682,601.799976958875,625.830091976463,706.053541900699,820.151349819346,793.452430030705,757.695907409377,825.942785363215,837.950500075362,915.328155408233,943.686575031401,783.963077800944,788.532442415695
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,51371.7408069836,54245.459737293,56284.1686478094,58883.9594265967,62583.1002034588,66111.7252270036,70359.3191088798,75882.0338560339,83912.6977976846,90849.5869806436,93605.7481653976,88463.3128161375,88207.3275597322,85973.158416455,85458.455507886,85748.0654143782,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,695.290253251516,751.575771728783,765.863235765695,807.938767268667,885.638224530948,997.741714073303,1097.45708762103,1247.06139160896,1335.45690588598,1741.14255168898,1795.18130720282,1770.23449659172,2178.92138307967,2458.0459761545,2422.00801577828,2350.88288924473,2504.71740655941,2615.31022007844,2773.54713530224
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,1058.71874950425,1012.50977332125,1007.00286888451,958.236652408901,913.5756261548,917.36431048617,978.334648481852,1046.42738414317,1233.59443543787,1389.63734326178,1736.93505102289,1776.86647562189,1981.16070450437,2377.67591794125,2645.22775260146,2947.93852628051,3124.00030982516,3077.02619917158,3117.3304591216
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,1097.64455461203,1246.49711410019,1461.75052047029,1524.41202152334,1761.53764718861,2214.73224591872,2650.64266079793,2968.41180611972,3404.32169771567,4180.29217625809,5078.31457720914,4701.33442641347,4614.8290411405,5054.32534423757,4722.01340306727,5042.58221304612,5204.24371841169,4584.24254781755,4808.63604287112
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,2869.18250335901,3226.29567410675,3349.06882277651,3128.09779260454,3055.61838247154,4163.06590578447,4896.58383481133,5351.25373171646,5374.55486690776,5714.04793606743,5623.37956613594,5185.72984538137,6346.15620387349,7645.21461151315,7029.23145024034,7007.62578590176,7493.76399441735,6527.50816086673,6954.17430629368
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,5075.63121131187,3469.50223662228,3739.11613876518,3146.94890366357,2819.6481201182,3059.58650690802,3623.04991209299,4770.18384511293,5860.14582941752,7313.55777336115,8787.61065756604,8553.38136825695,11224.1540829355,13167.4728917533,12291.4668523291,12216.9044643396,12026.6193906313,8750.22299607324,8639.36574344537
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,12690.6893244622,14097.9315882546,18008.4482589612,16468.1288626009,16846.0219841083,18555.5664851075,21896.6052658777,26102.1334542119,30980.9669198566,32672.3671711068,37951.2805959782,27965.4750379503,35268.1011703581,47017.0273004715,47651.2590896413,44597.279681535,41530.6689792581,30967.890506377,26939.418047044
